temperature,humidity,wind_speed,days_no_rain,vegetation_area,fire_risk,fire
27.5,71.7,9.2,23,1,60,1
24.3,65.7,10.7,98,0,100,1
28.2,48.5,16.0,23,0,84,1
32.6,98.9,5.9,16,1,47,0
23.8,68.5,11.8,4,1,44,0
23.8,39.0,8.0,19,1,64,1
32.9,28.1,10.1,20,1,92,1
28.8,32.2,16.4,103,0,100,1
22.7,39.7,11.0,57,0,95,1
27.7,32.9,10.2,30,1,87,1
22.7,34.9,3.2,109,0,100,1
22.7,42.8,13.7,99,0,100,1
26.2,33.9,13.2,10,1,73,1
15.4,91.7,20.8,51,1,64,1
16.4,26.4,8.5,14,1,53,1
22.2,62.0,11.1,82,1,100,1
19.9,52.8,11.2,6,1,45,0
26.6,98.6,17.9,114,0,100,1
20.5,29.0,9.5,27,0,71,1
17.9,51.8,11.4,50,0,75,1
32.3,97.6,13.0,106,0,100,1
23.9,89.2,10.9,57,1,72,1
25.3,85.4,7.8,4,0,33,0
17.9,40.6,11.0,4,0,45,0
22.3,33.7,15.4,93,0,100,1
25.6,73.5,4.9,117,0,100,1
19.2,94.4,10.7,95,0,89,1
26.9,64.5,6.5,7,0,46,0
22.0,65.7,16.0,63,0,92,1
23.5,42.4,2.4,9,0,46,0
22.0,81.6,7.2,37,0,52,1
34.3,35.0,11.9,110,1,100,1
24.9,45.9,17.8,95,0,100,1
19.7,54.0,9.7,111,0,100,1
29.1,60.6,7.2,91,1,100,1
18.9,39.4,19.4,80,0,100,1
26.0,29.2,2.8,94,1,100,1
15.2,68.8,-1.0,7,1,10,0
18.4,43.1,12.2,103,0,100,1
26.0,66.5,7.5,24,1,58,1
28.7,32.3,4.9,72,0,100,1
25.9,58.5,13.5,65,1,100,1
24.4,62.6,11.2,78,0,100,1
23.5,24.1,7.2,49,1,92,1
17.6,46.9,3.6,66,0,77,1
21.4,30.8,14.4,48,1,95,1
22.7,25.1,13.3,35,1,89,1
30.3,99.2,9.5,67,0,85,1
26.7,45.8,19.2,77,0,100,1
16.2,84.8,4.6,104,1,85,1
26.6,40.4,2.4,40,1,77,1
23.1,74.5,6.5,88,0,95,1
21.6,80.8,9.8,118,1,100,1
28.1,67.7,11.2,61,1,95,1
30.2,57.7,8.8,113,1,100,1
29.7,52.9,11.8,9,0,67,1
20.8,47.9,3.7,20,1,48,0
23.5,94.4,17.2,35,0,62,1
26.7,86.4,9.6,11,1,43,0
29.9,97.2,15.6,90,0,100,1
22.6,29.9,11.7,103,0,100,1
24.1,78.5,12.3,1,1,38,0
19.5,95.1,12.8,117,0,100,1
19.0,34.5,12.2,12,1,58,1
29.1,25.3,13.2,52,1,100,1
31.8,79.3,16.6,31,1,82,1
24.6,66.0,11.0,94,0,100,1
30.0,87.3,13.5,15,1,58,1
26.8,31.2,9.6,31,0,86,1
21.8,83.6,17.2,31,0,61,1
26.8,36.1,6.6,97,1,100,1
32.7,33.1,19.0,10,0,95,1
24.8,33.1,9.8,9,0,65,1
32.8,85.2,2.8,14,1,48,0
11.9,73.2,10.6,16,0,25,0
29.1,61.8,6.6,39,0,76,1
25.4,48.7,14.2,17,1,71,1
23.5,90.2,6.7,54,0,63,1
25.5,51.4,7.8,72,1,100,1
15.1,85.3,0.6,24,1,16,0
23.9,55.1,7.7,103,1,100,1
26.8,50.2,-2.1,58,1,79,1
32.4,57.0,2.1,77,0,100,1
22.4,44.1,13.8,88,0,100,1
21.0,79.8,13.9,113,1,100,1
22.5,60.2,12.1,21,1,59,1
29.6,38.6,5.2,115,1,100,1
26.6,92.0,9.8,29,0,54,1
22.4,50.7,10.0,83,0,100,1
27.6,63.5,4.2,84,0,100,1
25.5,92.5,17.5,43,1,73,1
29.8,69.9,14.4,31,0,80,1
21.5,29.4,8.9,50,1,89,1
23.4,95.2,10.1,45,1,58,1
23.0,70.2,11.0,112,0,100,1
17.7,46.8,-0.2,119,1,100,1
26.5,31.1,8.8,20,0,76,1
26.3,83.5,6.6,98,1,100,1
25.0,69.6,5.0,31,1,56,1
23.8,62.7,8.6,93,1,100,1
17.9,91.5,19.0,118,1,100,1
22.9,83.1,13.2,38,0,63,1
23.3,32.1,7.1,112,0,100,1
21.0,44.9,12.9,11,1,57,1
24.2,39.9,17.0,104,0,100,1
27.0,79.5,14.6,46,0,81,1
34.4,22.7,10.3,17,0,96,1
25.9,65.6,6.8,20,1,54,1
26.3,81.0,13.5,12,0,51,1
